object_id,row_id,x_coord,y_coord,orientation_deg
179,5,11.682,-11.306,-0.29
180,5,12.138,-11.309,-0.29
181,5,12.594,-11.311,-0.29
182,5,13.049,-11.313,-0.29
183,5,13.505,-11.316,-0.29
184,5,13.961,-11.318,-0.29
185,5,14.417,-11.32,-0.29
186,5,14.873,-11.322,-0.29
187,5,15.329,-11.325,-0.29
188,5,15.784,-11.327,-0.29
189,5,16.24,-11.329,-0.29
190,5,16.696,-11.331,-0.29
191,6,-0.094,-13.048,-0.41
192,6,0.36,-13.051,-0.41
193,6,0.814,-13.054,-0.41
194,6,1.268,-13.057,-0.41
195,6,1.722,-13.061,-0.41
196,6,2.176,-13.064,-0.41
197,6,2.63,-13.067,-0.41
198,6,3.084,-13.071,-0.41
199,6,3.538,-13.074,-0.41
200,6,3.992,-13.077,-0.41
201,6,4.446,-13.08,-0.41
202,6,4.9,-13.084,-0.41
203,6,5.354,-13.087,-0.41
204,6,5.808,-13.09,-0.41
205,6,6.262,-13.094,-0.41
206,6,6.716,-13.097,-0.41
207,6,7.17,-13.1,-0.41
208,6,7.623,-13.103,-0.41
209,6,8.077,-13.107,-0.41
210,6,8.531,-13.11,-0.41
211,6,8.985,-13.113,-0.41
212,6,9.439,-13.117,-0.41
213,6,9.893,-13.12,-0.41
214,6,10.347,-13.123,-0.41
215,6,10.801,-13.126,-0.41
216,6,11.255,-13.13,-0.41
217,6,11.709,-13.133,-0.41
218,6,12.163,-13.136,-0.41
219,6,12.617,-13.139,-0.41
220,6,13.071,-13.143,-0.41
221,6,13.525,-13.146,-0.41
222,6,13.979,-13.149,-0.41
223,6,14.433,-13.153,-0.41
224,6,14.887,-13.156,-0.41
225,6,15.341,-13.159,-0.41
226,6,15.795,-13.162,-0.41
227,6,16.249,-13.166,-0.41
228,6,16.703,-13.169,-0.41
229,7,-0.132,-14.986,-0.14
230,7,0.323,-14.987,-0.14
231,7,0.778,-14.988,-0.14
232,7,1.233,-14.989,-0.14
233,7,1.688,-14.99,-0.14
234,7,2.143,-14.991,-0.14
235,7,2.598,-14.992,-0.14
236,7,3.053,-14.993,-0.14
237,7,3.508,-14.995,-0.14
238,7,3.963,-14.996,-0.14
239,7,4.418,-14.997,-0.14
240,7,4.873,-14.998,-0.14
241,7,5.328,-14.999,-0.14
242,7,5.783,-15.0,-0.14
243,7,6.238,-15.001,-0.14
244,7,6.693,-15.002,-0.14
245,7,7.148,-15.004,-0.14
246,7,7.603,-15.005,-0.14
247,7,8.058,-15.006,-0.14
248,7,8.513,-15.007,-0.14
249,7,8.968,-15.008,-0.14
250,7,9.423,-15.009,-0.14
251,7,9.878,-15.01,-0.14
252,7,10.333,-15.011,-0.14
253,7,10.788,-15.012,-0.14
254,7,11.243,-15.014,-0.14
255,7,11.698,-15.015,-0.14
